index,stem,image_file,caption_file,prompt_file,caption
1,vanya_glam_001,vanya_glam_001.png,vanya_glam_001.txt,vanya_glam_001.prompt.txt,"iravanyaai, original fictional adult woman age 30, nature glamour influencer, South Asian inspired but not based on any real person, long dark wavy hair, expressive brown eyes, sun kissed skin, slim athletic figure, standing three-quarter portrait with one hand on waist, lush tropical forest at golden hour, tasteful fitted sage green wrap dress, hot and sexy fashion editorial energy, tasteful non explicit, photorealistic, elegant mature confidence"
2,vanya_glam_002,vanya_glam_002.png,vanya_glam_002.txt,vanya_glam_002.prompt.txt,"iravanyaai, original fictional adult woman age 32, nature glamour influencer, South Asian inspired but not based on any real person, long dark wavy hair, expressive brown eyes, sun kissed skin, natural mature feminine figure, walking through tall grass with confident stride, rainforest trail with soft mist, olive bodycon midi dress with natural fabric texture, hot and sexy fashion editorial energy, tasteful non explicit, photorealistic, elegant mature confidence"
3,vanya_glam_003,vanya_glam_003.png,vanya_glam_003.txt,vanya_glam_003.prompt.txt,"iravanyaai, original fictional adult woman age 34, nature glamour influencer, South Asian inspired but not based on any real person, long dark wavy hair, expressive brown eyes, sun kissed skin, toned hourglass figure, seated on a mossy stone with elegant posture, sunlit palm grove, rust red resort dress with elegant neckline, hot and sexy fashion editorial energy, tasteful non explicit, photorealistic, elegant mature confidence"
4,vanya_glam_004,vanya_glam_004.png,vanya_glam_004.txt,vanya_glam_004.prompt.txt,"iravanyaai, original fictional adult woman age 36, nature glamour influencer, South Asian inspired but not based on any real person, long dark wavy hair, expressive brown eyes, sun kissed skin, petite curvy figure, over-the-shoulder look beside tropical leaves, greenhouse filled with tropical plants, earth-toned linen co-ord outfit, hot and sexy fashion editorial energy, tasteful non explicit, photorealistic, elegant mature confidence"
5,vanya_glam_005,vanya_glam_005.png,vanya_glam_005.txt,vanya_glam_005.prompt.txt,"iravanyaai, original fictional adult woman age 38, nature glamour influencer, South Asian inspired but not based on any real person, long dark wavy hair, expressive brown eyes, sun kissed skin, tall elegant figure, leaning lightly against a tree trunk, lush tropical forest at golden hour, terracotta draped dress with clean silhouette, hot and sexy fashion editorial energy, tasteful non explicit, photorealistic, elegant mature confidence"
6,vanya_glam_006,vanya_glam_006.png,vanya_glam_006.txt,vanya_glam_006.prompt.txt,"iravanyaai, original fictional adult woman age 30, nature glamour influencer, South Asian inspired but not based on any real person, long dark wavy hair, expressive brown eyes, sun kissed skin, soft curvy figure, kneeling beside wildflowers with relaxed expression, rainforest trail with soft mist, black fitted editorial outfit with modest coverage, hot and sexy fashion editorial energy, tasteful non explicit, photorealistic, elegant mature confidence"
7,vanya_glam_007,vanya_glam_007.png,vanya_glam_007.txt,vanya_glam_007.prompt.txt,"iravanyaai, original fictional adult woman age 32, nature glamour influencer, South Asian inspired but not based on any real person, long dark wavy hair, expressive brown eyes, sun kissed skin, slim athletic figure, full-body runway-inspired stance on a forest path, sunlit palm grove, ivory sleeveless jumpsuit with simple gold jewelry, hot and sexy fashion editorial energy, tasteful non explicit, photorealistic, elegant mature confidence"
8,vanya_glam_008,vanya_glam_008.png,vanya_glam_008.txt,vanya_glam_008.prompt.txt,"iravanyaai, original fictional adult woman age 34, nature glamour influencer, South Asian inspired but not based on any real person, long dark wavy hair, expressive brown eyes, sun kissed skin, natural mature feminine figure, waist-up portrait adjusting hair, greenhouse filled with tropical plants, white linen shirt tied at waist with long skirt, hot and sexy fashion editorial energy, tasteful non explicit, photorealistic, elegant mature confidence"
9,vanya_glam_009,vanya_glam_009.png,vanya_glam_009.txt,vanya_glam_009.prompt.txt,"iravanyaai, original fictional adult woman age 36, nature glamour influencer, South Asian inspired but not based on any real person, long dark wavy hair, expressive brown eyes, sun kissed skin, toned hourglass figure, sitting on a wooden deck near greenery, lush tropical forest at golden hour, cream crop top with high-waist wide-leg trousers, hot and sexy fashion editorial energy, tasteful non explicit, photorealistic, elegant mature confidence"
10,vanya_glam_010,vanya_glam_010.png,vanya_glam_010.txt,vanya_glam_010.prompt.txt,"iravanyaai, original fictional adult woman age 38, nature glamour influencer, South Asian inspired but not based on any real person, long dark wavy hair, expressive brown eyes, sun kissed skin, petite curvy figure, turning mid-step with flowing hair, rainforest trail with soft mist, forest green satin blouse and tailored skirt, hot and sexy fashion editorial energy, tasteful non explicit, photorealistic, elegant mature confidence"
